Nation,County or Area Name,"Arithmetic Average 
","Geometric Average 
 Bq m-3",Effective Dose,Effective Dose
n/a,n/a,Bq m-3,Bq m-3,mSv/year,mSv/year
England,Buckinghamshire,48,36,2.1143592,1.5857694
England,Cambridgeshire,38,27,1.6738677,1.18932705
England,Cumbria,98,61,4.3168167,2.68699815
England,Derbyshire,103,49,4.53706245,2.15840835
England,Devon,100,54,4.404915,2.3786541
England,Dorset,44,29,1.9381626,1.27742535
England,East Sussex,63,34,2.77509645,1.4976711
England,Essex,24,19,1.0571796,0.83693385
England,Gloucestershire,96,56,4.2287184,2.4667524
England,Hampshire,52,32,2.2905558,1.4095728
England,Hertfordshire,41,30,1.80601515,1.3214745
England,Kent,40,27,1.761966,1.18932705
England,Lancashire,77,48,3.39178455,2.1143592
England,Leicestershire,72,40,3.1715388,1.761966
England,Lincolnshire,82,52,3.6120303,2.2905558
England,Norfolk,32,25,1.4095728,1.10122875
England,North Yorkshire,75,45,3.30368625,1.98221175
England,Northamptonshire,71,40,3.12748965,1.761966
England,Nottinghamshire,67,38,2.95129305,1.6738677
England,Oxfordshire,101,60,4.44896415,2.642949
England,Somerset,63,42,2.77509645,1.8500643
England,Staffordshire,79,40,3.47988285,1.761966
England,Suffolk,34,25,1.4976711,1.10122875
England,Surrey,33,23,1.45362195,1.01313045
England,Warwickshire,47,34,2.07031005,1.4976711
England,West Sussex,52,34,2.2905558,1.4976711
England,Worcestershire,41,31,1.80601515,1.36552365
England,Greater London,28,18,1.2333762,0.7928847
England,Greater Manchester,25,17,1.10122875,0.74883555
England,Merseyside,16,12,0.7047864,0.5285898
England,South Yorkshire,43,28,1.89411345,1.2333762
England,Tyne and Wear,27,13,1.18932705,0.57263895
England,West Midlands,25,18,1.10122875,0.7928847
England,West Yorkshire,50,32,2.2024575,1.4095728
Wales,Blaenau Gwent,20,11,0.880983,0.48454065
Wales,Bridgend,53,33,2.33460495,1.45362195
Wales,Caerphilly,26,17,1.1452779,0.74883555
Wales,Cardiff,53,33,2.33460495,1.45362195
Wales,Carmarthenshire,80,46,3.523932,2.0262609
Wales,Ceredigion,75,50,3.30368625,2.2024575
Wales,Conwy,67,42,2.95129305,1.8500643
Wales,Denbighshire,111,63,4.88945565,2.77509645
Wales,Flintshire,114,60,5.0216031,2.642949
Wales,Gwynedd,53,36,2.33460495,1.5857694
Wales,Isle of Anglesey,107,58,4.71325905,2.5548507
Wales,Merthyr Tydfil,74,25,3.2596371,1.10122875
Wales,Monmouthshire,58,41,2.5548507,1.80601515
Wales,Neath Port Talbot,22,15,0.9690813,0.66073725
Wales,Newport,31,23,1.36552365,1.01313045
Wales,Pembrokeshire,107,67,4.71325905,2.95129305
Wales,Powys,76,48,3.3477354,2.1143592
Wales,Rhondda Cynon Taf,36,19,1.5857694,0.83693385
Wales,Swansea,53,29,2.33460495,1.27742535
Wales,Torfaen,26,17,1.1452779,0.74883555
Wales,Vale of Glamorgan,88,54,3.8763252,2.3786541
Wales,Wrexham,76,43,3.3477354,1.89411345
Northern Ireland,Antrim and Newtownabbey,25,18,1.10122875,0.7928847
Northern Ireland,"Armagh, Banbridge and Craigavon",44,33,1.9381626,1.45362195
Northern Ireland,Belfast,23,19,1.01313045,0.83693385
Northern Ireland,Causeway Coast and Glens,38,27,1.6738677,1.18932705
Northern Ireland,Derry and Strabane,80,51,3.523932,2.24650665
Northern Ireland,Fermanagh and Omagh,60,37,2.642949,1.62981855
Northern Ireland,Lisburn and Castlereagh,46,34,2.0262609,1.4976711
Northern Ireland,Mid and East Antrim,24,18,1.0571796,0.7928847
Northern Ireland,Mid Ulster,57,38,2.51080155,1.6738677
Northern Ireland,"Newry, Mourne and Down",78,53,3.4358337,2.33460495
Northern Ireland,North Down and Ards,43,33,1.89411345,1.45362195
Scotland,Aberdeen City,43,29,1.89411345,1.27742535
Scotland,Aberdeenshire,93,53,4.09657095,2.33460495
Scotland,Angus,29,22,1.27742535,0.9690813
Scotland,Argyll and Bute,22,13,0.9690813,0.57263895
Scotland,City of Edinburgh,28,19,1.2333762,0.83693385
Scotland,Clackmannanshire,23,15,1.01313045,0.66073725
Scotland,Comhairle Nan Eilean Siar,11,7,0.48454065,0.30834405
Scotland,Dumfries and Galloway,35,24,1.54172025,1.0571796
Scotland,Dundee City,26,20,1.1452779,0.880983
Scotland,East Ayrshire,15,11,0.66073725,0.48454065
Scotland,East Dunbartonshire,19,14,0.83693385,0.6166881
Scotland,East Lothian,39,23,1.71791685,1.01313045
Scotland,East Renfrewshire,23,18,1.01313045,0.7928847
Scotland,Falkirk,17,12,0.74883555,0.5285898
Scotland,Fife,22,17,0.9690813,0.74883555
Scotland,Glasgow City,22,16,0.9690813,0.7047864
Scotland,Highland,53,27,2.33460495,1.18932705
Scotland,Inverclyde,16,12,0.7047864,0.5285898
Scotland,Midlothian,54,32,2.3786541,1.4095728
Scotland,Moray,30,21,1.3214745,0.92503215
Scotland,North Ayrshire,18,13,0.7928847,0.57263895
Scotland,North Lanarkshire,12,9,0.5285898,0.39644235
Scotland,Orkney Islands,131,56,5.77043865,2.4667524
Scotland,Perth and Kinross,34,25,1.4976711,1.10122875
Scotland,Renfrewshire,18,13,0.7928847,0.57263895
Scotland,Scottish Borders,44,30,1.9381626,1.3214745
Scotland,Shetland Islands,57,21,2.51080155,0.92503215
Scotland,South Ayrshire,18,13,0.7928847,0.57263895
Scotland,South Lanarkshire,23,16,1.01313045,0.7047864
Scotland,Stirling,22,17,0.9690813,0.74883555
Scotland,West Dunbartonshire,21,15,0.92503215,0.66073725
Scotland,West Lothian,17,12,0.74883555,0.5285898
